txn_id,account_id,ts_event,amount,currency,channel
T1001,1,2026-01-01T09:10:00+05:45,2500,NPR,pos
T1002,1,2026-01-01T22:40:00+05:45,10999,NPR,web
T1003,1,2026-01-02T07:35:00+05:45,2000,NPR,pos
T1004,2,2026-01-02T18:20:00+05:45,12000,NPR,mobile
T1005,2,2026-01-03T08:15:00+05:45,9000,NPR,mobile
T1006,3,2026-01-02T21:05:00+05:45,4999,NPR,web
T1007,4,2026-01-04T09:10:00+05:45,35000,NPR,mobile
T1008,5,2026-01-02T10:05:00+05:45,1300,NPR,pos
T1009,5,2026-01-02T10:05:00+05:45,1300,USD,pos
T1010,5,2026-01-02T10:05:00+05:45,1300,NPR,pos
T1009,5,2026-01-02T10:05:00+05:45,1300,USD,pos
T1010,5,2026-01-02T10:05:00+05:45,1300,NPR,pos
T1011,5,2026-01-01T10:05:00+05:45,1300,USD,pos
T1012,5,2026-01-01T10:05:00+05:45,1300,NPR,pos
T1013,5,2026-01-05T10:05:00+05:45,1300,USD,pos
T1014,5,2026-01-05T10:05:00+05:45,1300,NPR,pos